Campaign_ID,Campaign_Type,Target_Audience,Channel_Used,Language,Customer_Segment,campaign_date,Duration,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Engagement_Score
NY-CMP-1000,"Social Media","College Students","WhatsApp, YouTube",Hindi,"College Students",2025-04-29,21,57804,6156,3616,2355,1867515,111.03,6.14,20.98
NY-CMP-1001,"Paid Ads","Tier 2 City Customers",YouTube,Hindi,"College Students",2025-04-06,18,91801,3321,1971,1357,1046247,180.83,3.26,7.24
NY-CMP-1002,Influencer,Youth,"WhatsApp, Google, YouTube",English,"College Students",2025-01-14,23,15536,2182,952,755,197055,90.6,1.88,25.03
NY-CMP-1003,Email,"Working Women","YouTube, Facebook, Instagram",Hindi,"College Students",2025-06-04,18,88114,8413,2231,947,376906,249.07,0.6,13.15
NY-CMP-1004,"Paid Ads","College Students","Facebook, Instagram",Hindi,"Tier 2 City Customers",2024-12-29,10,96871,3743,2060,1258,518296,228.6,0.8,7.29
NY-CMP-1005,Influencer,Youth,"Email, Instagram",Hindi,"Premium Shoppers",2024-09-23,26,83919,7497,2061,1555,877020,137.79,3.09,13.24
NY-CMP-1006,"Paid Ads","College Students","YouTube, Google, WhatsApp",Tamil,Youth,2024-09-01,21,82267,5534,1873,1386,633402,210.17,1.17,10.69
NY-CMP-1007,"Social Media","Working Women","Instagram, WhatsApp, Google",Hindi,"Tier 2 City Customers",2025-05-31,6,32482,2665,1488,925,326525,147.29,1.4,15.63
NY-CMP-1008,Influencer,"Premium Shoppers","Facebook, WhatsApp, Email",Hindi,"Tier 2 City Customers",2025-03-24,27,73813,8680,5031,2551,1058665,87.74,3.73,22.03
NY-CMP-1009,"Social Media","College Students",Email,Hindi,Youth,2025-04-29,11,88895,6284,1600,858,603174,269.82,1.61,9.83
NY-CMP-1010,SEO,"Working Women","Google, Instagram",Hindi,"Working Women",2024-10-26,5,59141,1556,580,221,121550,357.66,0.54,3.99
NY-CMP-1011,SEO,Youth,"Facebook, YouTube",Hindi,"Premium Shoppers",2024-12-21,7,39696,5623,1136,661,286874,163.52,1.65,18.69
NY-CMP-1012,Email,Youth,"Email, Instagram, Facebook",Bengali,"Working Women",2024-09-30,29,20080,570,258,183,128466,462.62,0.52,5.03
NY-CMP-1013,SEO,Youth,Email,Tamil,"Premium Shoppers",2024-10-29,14,96303,3749,1785,940,441800,282.05,0.67,6.72
NY-CMP-1014,"Paid Ads","Premium Shoppers",Instagram,Bengali,"College Students",2024-07-06,5,38072,2591,1542,769,240697,369.75,-0.15,12.88
