Campaign_ID,Campaign_Type,Target_Audience,Channel_Used,Language,Customer_Segment,campaign_start_date,campaign_end_date,total_duration_days,impressions,clicks,leads,conversions,revenue,acquisition_cost,avg_roi,avg_engagement_score,ctr,cpc,conversion_rate,cpa,roas
NY-CMP-1000,"Social Media","College Students","WhatsApp, YouTube",Hindi,"College Students",2025-04-29,2025-04-29,21,57804,6156,3616,2355,1867515,111.03,6.14,20.98,0.1065,0.01803606237816764,0.3826,0.047146496815286626,16819.913536881922
NY-CMP-1001,"Paid Ads","Tier 2 City Customers",YouTube,Hindi,"College Students",2025-04-06,2025-04-06,18,91801,3321,1971,1357,1046247,180.83,3.26,7.24,0.0362,0.054450466726889496,0.4086,0.13325718496683864,5785.8043466239005
NY-CMP-1002,Influencer,Youth,"WhatsApp, Google, YouTube",English,"College Students",2025-01-14,2025-01-14,23,15536,2182,952,755,197055,90.6,1.88,25.03,0.1404,0.04152153987167736,0.3460,0.12,2175
NY-CMP-1003,Email,"Working Women","YouTube, Facebook, Instagram",Hindi,"College Students",2025-06-04,2025-06-04,18,88114,8413,2231,947,376906,249.07,0.6,13.15,0.0955,0.02960537263758469,0.1126,0.2630095036958817,1513.2533022844984
NY-CMP-1004,"Paid Ads","College Students","Facebook, Instagram",Hindi,"Tier 2 City Customers",2024-12-29,2024-12-29,10,96871,3743,2060,1258,518296,228.6,0.8,7.29,0.0386,0.061074004808976755,0.3361,0.18171701112877583,2267.2615923009625
NY-CMP-1005,Influencer,Youth,"Email, Instagram",Hindi,"Premium Shoppers",2024-09-23,2024-09-23,26,83919,7497,2061,1555,877020,137.79,3.09,13.24,0.0893,0.018379351740696277,0.2074,0.08861093247588424,6364.903113433486
NY-CMP-1006,"Paid Ads","College Students","YouTube, Google, WhatsApp",Tamil,Youth,2024-09-01,2024-09-01,21,82267,5534,1873,1386,633402,210.17,1.17,10.69,0.0673,0.03797795446331767,0.2505,0.15163780663780663,3013.760289289623
NY-CMP-1007,"Social Media","Working Women","Instagram, WhatsApp, Google",Hindi,"Tier 2 City Customers",2025-05-31,2025-05-31,6,32482,2665,1488,925,326525,147.29,1.4,15.63,0.0820,0.05526829268292682,0.3471,0.15923243243243243,2216.8850566908823
NY-CMP-1008,Influencer,"Premium Shoppers","Facebook, WhatsApp, Email",Hindi,"Tier 2 City Customers",2025-03-24,2025-03-24,27,73813,8680,5031,2551,1058665,87.74,3.73,22.03,0.1176,0.010108294930875575,0.2939,0.03439435515484124,12065.93343970823
NY-CMP-1009,"Social Media","College Students",Email,Hindi,Youth,2025-04-29,2025-04-29,11,88895,6284,1600,858,603174,269.82,1.61,9.83,0.0707,0.042937619350732016,0.1365,0.31447552447552446,2235.4680898376696
NY-CMP-1010,SEO,"Working Women","Google, Instagram",Hindi,"Working Women",2024-10-26,2024-10-26,5,59141,1556,580,221,121550,357.66,0.54,3.99,0.0263,0.22985861182519282,0.1420,1.618371040723982,339.8479002404518
NY-CMP-1011,SEO,Youth,"Facebook, YouTube",Hindi,"Premium Shoppers",2024-12-21,2024-12-21,7,39696,5623,1136,661,286874,163.52,1.65,18.69,0.1417,0.029080561977592033,0.1176,0.24738275340393345,1754.3664383561643
NY-CMP-1012,Email,Youth,"Email, Instagram, Facebook",Bengali,"Working Women",2024-09-30,2024-09-30,29,20080,570,258,183,128466,462.62,0.52,5.03,0.0284,0.8116140350877193,0.3211,2.5279781420765026,277.69227443690284
NY-CMP-1013,SEO,Youth,Email,Tamil,"Premium Shoppers",2024-10-29,2024-10-29,14,96303,3749,1785,940,441800,282.05,0.67,6.72,0.0389,0.07523339557215258,0.2507,0.3000531914893617,1566.3889381315369
